Date,Description,Category,Amount
2024-01-05,Grocery Store,Food,1200.00
2024-01-12,Electric Bill,Utilities,850.00
2024-01-18,Movie Tickets,Entertainment,400.00
2024-01-22,Restaurant,Food,650.00
2024-01-28,Bus Pass,Transport,300.00
2024-02-03,Online Course,Education,1500.00
2024-02-10,Supermarket,Food,980.00
2024-02-15,Internet Bill,Utilities,600.00
2024-02-20,Book Purchase,Education,350.00
2024-02-25,Cab Ride,Transport,520.00
2024-03-02,Gym Membership,Health,700.00
2024-03-08,Grocery Store,Food,1100.00
2024-03-14,Phone Bill,Utilities,450.00
2024-03-19,Concert Ticket,Entertainment,800.00
2024-03-25,Medicine,Health,250.00
